p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,hl_category
1699.7837,1516.582278841683,1385.022972986818,1442.650634824344,1486.3821226285306,1608.7992817929883,1555.4246544269506,1403.375189258454,1425.3304155598346,1498.892776332425,1596.1859738530804,1540.941745143856,1357.720116260875,1435.5494026167112,1566.8836346949668,1569.5880714285713,Medium
1668.5212999999997,1480.7001472566747,1299.8209687771327,1351.2301333839291,1442.7184400907788,1556.3424686980427,1505.074364840708,1348.794412759209,1330.693493939969,1458.0570872717149,1577.298233529958,1473.05587849284,1276.0206625784444,1353.8515030526726,1512.35293564842,1551.2187857142856,Medium
1694.1184999999998,1510.3455681188716,1354.675954205443,1409.009271813519,1486.8368200064735,1610.6525357460553,1545.4069384481134,1375.65554346768,1383.4727792700019,1494.8787444624136,1607.8653343481192,1531.0909906428642,1335.0466753395385,1400.5252707583452,1549.7848974353312,1577.7403857142856,Medium
1759.9805,1568.851834891897,1441.564332725472,1469.2299027128624,1519.162066776625,1651.7544361071623,1568.2308748509363,1477.5765420960422,1460.499557341208,1531.9015395975825,1665.8811029483652,1533.7079530720519,1410.6634429565063,1469.3658387920834,1568.9193022885054,1648.1336142857142,Medium
1700.3569999999997,1495.8743438800884,1307.3967896509064,1362.1388576711006,1449.24709923648,1579.1038187369345,1522.9851519711713,1353.8115081749131,1348.3527799985982,1472.604838998611,1592.9617006838844,1493.7509488439262,1274.8525010385904,1363.176057857511,1537.301749799705,1568.8945714285712,Medium
1736.6898,1533.2149753562494,1360.8644436646473,1410.8045834194654,1483.0129708152892,1627.9272666828692,1565.4940841981145,1390.1715422846482,1410.6762625796978,1511.6771246109247,1617.896862809327,1541.4889463628415,1324.7650147305435,1409.1458845718307,1582.1537986420053,1606.1517714285715,Medium
1705.6746,1497.8786481512986,1276.5863076051894,1320.080140528698,1439.9645808156563,1575.6216165332798,1515.2491892352386,1336.083543498989,1316.0733675369845,1471.933423231446,1598.9497796485773,1474.1574760791102,1242.9575066522423,1327.234489334297,1528.2098709129111,1587.5354857142859,Medium
1731.0934,1527.0672476577508,1330.6554039277626,1377.58853858078,1483.8495530383168,1629.8441377340216,1555.5169032616773,1362.7884305225487,1368.9025964385542,1508.5205234077214,1629.4116282093337,1531.8903118847593,1302.1385916357317,1373.944901153718,1565.3587226592422,1614.2352857142857,Medium
2383.7392,2131.1919819397235,1972.0282640827106,1931.4673047137594,2029.212785718301,2185.0357301595477,2167.4344390062065,2035.5349591892,2044.2012813257093,2155.1727601897232,2158.9985209281667,2065.905636667976,1871.6545482768076,1978.5684319405664,2189.7586679663614,2287.049357894737,Medium
1586.5778,1419.896737827669,1312.1845094635742,1348.7650246296207,1435.845550770627,1475.7643646448957,1458.5436614153464,1384.5378373450897,1302.487399683448,1408.9470198332494,1496.6270475474162,1436.3244035259374,1338.1988353222348,1360.8642360453784,1415.2771285194583,1457.1480857142856,Medium
