index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
41,antiviral_physicochemical_properties,Logistic,0.6521356080572076,0.69845973547631,0.6403039435590125,0.69845973547631,42,Training,PHY-Based
42,antiviral_physicochemical_properties,SGD,0.5957675813788919,0.5849093648691841,0.6095440446856518,0.5849093648691841,42,Training,PHY-Based
43,antiviral_physicochemical_properties,LDA,0.6565244535174019,0.7094759752218316,0.644909118265193,0.7094759752218316,42,Training,PHY-Based
44,antiviral_physicochemical_properties,QDA,0.0960993146197686,0.1466310518545576,0.571556847622042,0.1466310518545576,42,Training,PHY-Based
45,antiviral_physicochemical_properties,LinearSVC,0.5810083501171893,0.5820921419113282,0.5869155175117815,0.5820921419113282,42,Training,PHY-Based
46,antiviral_physicochemical_properties,SVC,0.7219145952676558,0.7745262773389342,0.7933498594565414,0.7745262773389342,42,Training,PHY-Based
47,antiviral_physicochemical_properties,KNN,0.708300962570038,0.7364899624065873,0.7087052886504814,0.7364899624065873,42,Training,PHY-Based
48,antiviral_physicochemical_properties,GPC,0.540791699150245,0.5137680166811257,0.6155992071926157,0.5137680166811257,42,Training,PHY-Based
49,antiviral_physicochemical_properties,BernoulliNB,0.6287084874902096,0.6681475731701749,0.6106267451814056,0.6681475731701749,42,Training,PHY-Based
50,antiviral_physicochemical_properties,GaussianNB,0.0571840443015215,0.1284461896717044,0.7224824203391329,0.1284461896717044,42,Training,PHY-Based
51,antiviral_physicochemical_properties,DecisionTree,0.7916327059172901,0.7949256502747211,0.7933395847511016,0.7949256502747211,42,Training,PHY-Based
52,antiviral_physicochemical_properties,ExtraTree,0.6871914634597406,0.6978996392858774,0.6829112613833128,0.6978996392858774,42,Training,PHY-Based
53,antiviral_physicochemical_properties,RandomForest,0.7415639604171333,0.760195120466341,0.742844126287349,0.760195120466341,42,Training,PHY-Based
54,antiviral_physicochemical_properties,Bagging,0.8006160415452175,0.8042874754577417,0.7991737974026984,0.8042874754577417,42,Training,PHY-Based
55,antiviral_physicochemical_properties,AdaBoost,0.7303534475876129,0.7646089219670336,0.7376696134120841,0.7646089219670336,42,Training,PHY-Based
56,antiviral_physicochemical_properties,GradientBoosting,0.8427807046595864,0.8517069235803539,0.8484485897451736,0.8517069235803539,42,Training,PHY-Based
57,antiviral_physicochemical_properties,HistGradientBoosting,0.8145493328315616,0.8197342587096479,0.8135366831364916,0.8197342587096479,42,Training,PHY-Based
58,antiviral_physicochemical_properties,ExtraTrees-ensemble,0.7177404774403267,0.7342906716588284,0.7154750812619488,0.7342906716588284,42,Training,PHY-Based
59,antiviral_physicochemical_properties,LGBM,0.8153816399055879,0.8208377090848211,0.8145814242414593,0.8208377090848211,42,Training,PHY-Based
0,antiviral_onehot,Ridge,0.8293232295585307,0.8436123348017621,0.851046255506608,0.8436123348017621,42,Validation,One-Hot-Based
1,antiviral_onehot,Logistic,0.8142314139799618,0.8281938325991189,0.829599715462751,0.8281938325991189,42,Validation,One-Hot-Based
2,antiviral_onehot,SGD,0.8061386508235487,0.8193832599118943,0.8192411790544253,0.8193832599118943,42,Validation,One-Hot-Based
3,antiviral_onehot,LDA,0.787783248394806,0.7973568281938326,0.7881355085267475,0.7973568281938326,42,Validation,One-Hot-Based
4,antiviral_onehot,QDA,0.7811710091281845,0.7973568281938326,0.7990840065160645,0.7973568281938326,42,Validation,One-Hot-Based
5,antiviral_onehot,LinearSVC,0.8143284879631487,0.8281938325991189,0.8283024857101249,0.8281938325991189,42,Validation,One-Hot-Based
6,antiviral_onehot,SVC,0.8023089626156038,0.8259911894273128,0.8502698647852266,0.8259911894273128,42,Validation,One-Hot-Based
7,antiviral_onehot,KNN,0.7247413842607405,0.76431718061674,0.7700187856350313,0.76431718061674,42,Validation,One-Hot-Based
8,antiviral_onehot,GPC,0.7275608094342616,0.762114537444934,0.7595463593276507,0.762114537444934,42,Validation,One-Hot-Based
9,antiviral_onehot,BernoulliNB,0.7081720966971953,0.73568281938326,0.7078007507696974,0.73568281938326,42,Validation,One-Hot-Based
10,antiviral_onehot,GaussianNB,0.807929860187833,0.7995594713656388,0.8519269609375087,0.7995594713656388,42,Validation,One-Hot-Based
11,antiviral_onehot,DecisionTree,0.7757947330743957,0.7841409691629956,0.7874318013888103,0.7841409691629956,42,Validation,One-Hot-Based
12,antiviral_onehot,ExtraTree,0.7355906526533863,0.7466960352422908,0.7436909032024213,0.7466960352422908,42,Validation,One-Hot-Based
13,antiviral_onehot,RandomForest,0.791536188808096,0.8061674008810573,0.7984391614765305,0.8061674008810573,42,Validation,One-Hot-Based
14,antiviral_onehot,Bagging,0.7742747275095965,0.7819383259911894,0.7727651230256796,0.7819383259911894,42,Validation,One-Hot-Based
15,antiviral_onehot,AdaBoost,0.6540216046192654,0.7422907488986784,0.6248623348017621,0.7422907488986784,42,Validation,One-Hot-Based
16,antiviral_onehot,GradientBoosting,0.8295605618287991,0.8436123348017621,0.8479438353319267,0.8436123348017621,42,Validation,One-Hot-Based
17,antiviral_onehot,HistGradientBoosting,0.8030765830984526,0.8149779735682819,0.8125350144543715,0.8149779735682819,42,Validation,One-Hot-Based
18,antiviral_onehot,ExtraTrees-ensemble,0.7621376420935891,0.7731277533039648,0.7747557939092128,0.7731277533039648,42,Validation,One-Hot-Based
19,antiviral_onehot,LGBM,0.8106954194027226,0.8237885462555066,0.8223543739953125,0.8237885462555066,42,Validation,One-Hot-Based
20,antiviral_FFT,Ridge,0.5767293563432145,0.6850220264317181,0.5804014591265174,0.6850220264317181,42,Validation,FFT-Based
21,antiviral_FFT,Logistic,0.5972277556958459,0.6894273127753304,0.6099835070239279,0.6894273127753304,42,Validation,FFT-Based
22,antiviral_FFT,SGD,0.5159793683251167,0.4757709251101321,0.6458051303438282,0.4757709251101321,42,Validation,FFT-Based
23,antiviral_FFT,LDA,0.5834625267189019,0.6696035242290749,0.5597973029820659,0.6696035242290749,42,Validation,FFT-Based
24,antiviral_FFT,QDA,0.3730754640261399,0.3480176211453744,0.5406105648418685,0.3480176211453744,42,Validation,FFT-Based
25,antiviral_FFT,LinearSVC,0.5678972945326229,0.6850220264317181,0.5098430616740088,0.6850220264317181,42,Validation,FFT-Based
26,antiviral_FFT,SVC,0.6075798011663756,0.711453744493392,0.7962061199897277,0.711453744493392,42,Validation,FFT-Based
27,antiviral_FFT,KNN,0.6610020259605643,0.7048458149779736,0.6649339962024695,0.7048458149779736,42,Validation,FFT-Based
28,antiviral_FFT,GPC,0.5534331264894531,0.5550660792951542,0.570713575803159,0.5550660792951542,42,Validation,FFT-Based
29,antiviral_FFT,BernoulliNB,0.5673526982378855,0.6916299559471366,0.4809347375791347,0.6916299559471366,42,Validation,FFT-Based
30,antiviral_FFT,GaussianNB,0.5672593222019013,0.566079295154185,0.5810894448873508,0.566079295154185,42,Validation,FFT-Based
31,antiviral_FFT,DecisionTree,0.6066897425595221,0.6409691629955947,0.5981514860620876,0.6409691629955947,42,Validation,FFT-Based
32,antiviral_FFT,ExtraTree,0.5887020267225961,0.6233480176211453,0.5874138329462076,0.6233480176211453,42,Validation,FFT-Based
33,antiviral_FFT,RandomForest,0.597686010752262,0.6674008810572687,0.5807932720015663,0.6674008810572687,42,Validation,FFT-Based
34,antiviral_FFT,Bagging,0.6322352853069596,0.6718061674008811,0.622931045031816,0.6718061674008811,42,Validation,FFT-Based
35,antiviral_FFT,AdaBoost,0.612070993995497,0.6872246696035242,0.6141475033197733,0.6872246696035242,42,Validation,FFT-Based
36,antiviral_FFT,GradientBoosting,0.6315104762800205,0.7070484581497798,0.6601071851296291,0.7070484581497798,42,Validation,FFT-Based
37,antiviral_FFT,HistGradientBoosting,0.6246318573482454,0.6762114537444934,0.6146443173668867,0.6762114537444934,42,Validation,FFT-Based
38,antiviral_FFT,ExtraTrees-ensemble,0.6089837472652787,0.6541850220264317,0.6197313359241695,0.6541850220264317,42,Validation,FFT-Based
39,antiviral_FFT,LGBM,0.6360605423252516,0.6872246696035242,0.6296272283367124,0.6872246696035242,42,Validation,FFT-Based
40,antiviral_physicochemical_properties,Ridge,0.6085256671851941,0.7026431718061674,0.6737724538853017,0.7026431718061674,42,Validation,PHY-Based
41,antiviral_physicochemical_properties,Logistic,0.6241410292308815,0.6541850220264317,0.6078960945218223,0.6541850220264317,42,Validation,PHY-Based
42,antiviral_physicochemical_properties,SGD,0.5796040903325628,0.6079295154185022,0.5633433544234542,0.6079295154185022,42,Validation,PHY-Based
43,antiviral_physicochemical_properties,LDA,0.6412221933338179,0.6938325991189427,0.641102402346319,0.6938325991189427,42,Validation,PHY-Based
44,antiviral_physicochemical_properties,QDA,0.1177158264723567,0.1674008810572687,0.7793074125884515,0.1674008810572687,42,Validation,PHY-Based
45,antiviral_physicochemical_properties,LinearSVC,0.6117111325301644,0.6475770925110133,0.5993057717005764,0.6475770925110133,42,Validation,PHY-Based
46,antiviral_physicochemical_properties,SVC,0.7040408616670624,0.7577092511013216,0.7948262873943476,0.7577092511013216,42,Validation,PHY-Based
47,antiviral_physicochemical_properties,KNN,0.6825657517529221,0.711453744493392,0.6955328653955241,0.711453744493392,42,Validation,PHY-Based
48,antiviral_physicochemical_properties,GPC,0.5560288491591897,0.5550660792951542,0.5936263901296941,0.5550660792951542,42,Validation,PHY-Based
49,antiviral_physicochemical_properties,BernoulliNB,0.5628845494696872,0.6277533039647577,0.5351562475204906,0.6277533039647577,42,Validation,PHY-Based
50,antiviral_physicochemical_properties,GaussianNB,0.038639415794626,0.1255506607929515,0.5347112964128383,0.1255506607929515,42,Validation,PHY-Based
51,antiviral_physicochemical_properties,DecisionTree,0.7767812793791167,0.7841409691629956,0.7858088168967974,0.7841409691629956,42,Validation,PHY-Based
52,antiviral_physicochemical_properties,ExtraTree,0.6761677890120125,0.7004405286343612,0.6882434565506712,0.7004405286343612,42,Validation,PHY-Based
53,antiviral_physicochemical_properties,RandomForest,0.7151727302948637,0.737885462555066,0.7193162455323748,0.737885462555066,42,Validation,PHY-Based
54,antiviral_physicochemical_properties,Bagging,0.7817756329784881,0.7907488986784141,0.7813959718349638,0.7907488986784141,42,Validation,PHY-Based
55,antiviral_physicochemical_properties,AdaBoost,0.6540216046192654,0.7422907488986784,0.6248623348017621,0.7422907488986784,42,Validation,PHY-Based
56,antiviral_physicochemical_properties,GradientBoosting,0.8426400072418657,0.8568281938325991,0.8691589159029119,0.8568281938325991,42,Validation,PHY-Based
57,antiviral_physicochemical_properties,HistGradientBoosting,0.7997841274525939,0.8105726872246696,0.8045186826894231,0.8105726872246696,42,Validation,PHY-Based
58,antiviral_physicochemical_properties,ExtraTrees-ensemble,0.6982645177057419,0.7202643171806168,0.7110765206284708,0.7202643171806168,42,Validation,PHY-Based
59,antiviral_physicochemical_properties,LGBM,0.8096694454880469,0.8215859030837004,0.8197536080214395,0.8215859030837004,42,Validation,PHY-Based
